Course,Status,Instructor,Section Details
CH 498-K - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-L - Senior Capstone Research Project I,Senior Capstone Research Project I,Closed,
CH 498-M - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 520-A - Advanced Physical Chem,Advanced Physical Chem,Open,
CH 520-A-U - Advanced Physical Chem,Advanced Physical Chem,Open,
CH 564-A - AI/ML Enabled Drug Discovery and Synthesis,AI/ML Enabled Drug Discovery and Synthesis,Open,
CH 580-A - Biochemistry I,Biochemistry I,Open,
CH 580-A-U - Biochemistry I,Biochemistry I,Open,
CH 646-A - Chem of Natural Products,Chem of Natural Products,Open,
CH 660-A - Advanced Instrumental Analysis,Advanced Instrumental Analysis,Open,
CH 700-A - Seminar in Chemistry,Seminar in Chemistry,Open,
CH 701-A - Practicum in CH,Practicum in CH,Open,
CH 800-A - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-B - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-C - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-D - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-E - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-F - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-G - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
CH 800-H - Special Rsrch Prob in Chemistry,Special Rsrch Prob in Chemistry,Open,
